Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
4933,97.3,2.67,15.3,0.00392,1.1,509127561,509.127561,Kansas_Nat_65_M_Wa,Kansas,65,Nat,M,Wa,4933,0.00114,58.5,4.431818182,0.00513,1.08,10922,1.0922,63.8937,4.840431818,4.07102,0.752271,Natural,Kansas,39.001464,-95.239938,16,107,4933,-95.239938,39.001464
4935,97.1,2.95,14.9,0.00344,0.781,513599670,513.59967,Granite_Ag_114_M_Co,Granite,114,Ag,M,Co,4935,0.00591,15.1,1.143939394,0.00546,0.881,11546,1.1546,17.43446,1.320792424,1.130601,0.183349,Agricultural,Granite,38.670222,-90.065665,6,36,4935,-90.065665,38.670222
4939,97.2,2.76,13.5,0.00291,0.905,514303532,514.303532,Gascondale_Nat_147_M_Co,Gascondale,147,Nat,M,Co,4939,1.00E-05,7.57,0.4947712418,0.00473,0.415,22239,2.2239,16.834923,1.100321765,1.135737,0.288715,Natural,Gascondale,38.66783702,-91.55559699,9,150,4939,-91.55559699,38.66783702
4944,96.8,3.2,13.3,0.00232,0.738,543468362,543.468362,Browning_Nat_89_F_Co,Browning,89,Nat,F,Co,4944,0.0264,12.3,0.8255033557,0.00415,0.866,12688,1.2688,15.60624,1.047398658,1.015878,0.193299,Natural,Browning,40.12487104,-90.36914203,11,67,4944,-90.36914203,40.12487104
4948,97.6,2.36,12.2,0.00324,0.915,525251964,525.251964,Hernan_Ag_18_M_Wa,Hernan,18,Ag,M,Wa,4948,0.00373,24.8,1.837037037,0.00667,1.64,11505,1.1505,28.5324,2.113511111,2.310154,0.349548,Agricultural,Hernan,38.63920603,-91.51230698,9,46,4948,-91.51230698,38.63920603
4955,97,2.98,13.8,0.00251,1.27,525678371,525.678371,Weston_Ag_2_F_Co,Weston,2,Ag,F,Co,4955,0.00071,8.8,0.6616541353,0.00421,1.43,25108,2.5108,22.09504,1.661281203,1.35627,0.530443,Agricultural,Weston,41.37218297,-83.79889,1,35,4955,-83.79889,41.37218297
4958,97.3,2.74,14.5,0.00431,0.672,535352000,535.352,Keysport_Nat_164_F_Co,Keysport,164,Nat,F,Co,4958,0.00336,25.6,2.098360656,0.00748,2.28,11756,1.1756,30.09536,2.466832787,2.043618,0.247654,Natural,Keysport,38.732444,-89.277403,5,34,4958,-89.277403,38.732444
4960,97.4,2.59,11.8,0.00325,0.82,560553643,560.553643,Knox_Nat_63_F_So,Knox,63,Nat,F,So,4960,0.0261,12.2,0.884057971,0.00735,0,11924,1.1924,14.54728,1.054150725,1.05928,0.337897,Natural,Knox,41.31732501,-86.746256,15,65,4960,-86.746256,41.31732501
4964,97.1,2.89,13,0.0031,0.867,520878712,520.878712,Aurora_Nat_39_M_Co,Aurora,39,Nat,M,Co,4964,0.0263,13.3,0.9172413793,0.00654,0.342,11704,1.1704,15.56632,1.07353931,1.054534,0.108793,Natural,Aurora,39.05562996,-84.89810603,3,23,4964,-84.89810603,39.05562996
4965,97.4,2.55,12.3,0.00259,0.773,556053340,556.05334,Allentown_Ag_92_F_Wa,Allentown,92,Ag,F,Wa,4965,0.00131,42.7,3.618644068,0.00489,1.18,11163,1.1163,47.66601,4.039492373,3.587612,0.853436,Agricultural,Allentown,40.55406597,-89.48221204,12,31,4965,-89.48221204,40.55406597
