sample	env	sex	lat	long	year	state
HB0923	Ag	F	39.43257	-87.380135	2007	Indiana
HB0924	Nat	M	39.15556	-94.39333	1897	Missouri
HB0925	Ag	M	39.813187	-95.160615	1913	Kansas
HB0926	Ag	M	39.813187	-95.160615	1913	Kansas
HB0927	Nat	M	39.000784	-95.626093	1949	Kansas
HB0928	Ag	M	38.9365	-95.22391	1940	Kansas
HB0929	Ag	F	37.09524	-96.07752	1970	Kansas
HB0930	Ag	F	37.79382	-95.16832	1973	Kansas
HB0931	Ag	F	39.70289	-95.30739	1981	Kansas
HB0932	Ag	M	37.29416	-95.210223	1994	Kansas
HB0933	Dist	F	43.892294	-81.312444	1891	Ontario
HB0934	Nat		43.89161	-81.312795	1889	Ontario
HB0935	Ag	F	42.954827	-81.234897	1880	Ontario
HB0936	Nat		45.319337	-75.093578	1891	Ontario
HB0937	Nat		43.04267	-81.175264	1880	Ontario
HB0938	Ag	M	43.04956	-80.523938	1940	Ontario
HB0939	Dist	F	42.86879	-79.617923	1960	Ontario
HB0940	Nat	F	42.48877	-82.413605	1950	Ontario
HB0941	Nat		44.828922	-75.554629	1960	Ontario
HB0942	Nat	F	42.568369	-82.504545	1986	Ontario
HB0943	Nat	F	43.174444	-79.375015	1991	Ontario
HB0944	Dist	F	45.274525	-76.088545	1985	Ontario
HB0945	Nat	F	44.485637	-79.99545	1988	Ontario
HB0947	Nat	M	43.997787	-77.729332	1997	Ontario
HB0948	Nat	M	43.89161	-81.312795	1990	Ontario
HB0949	Nat	M	43.083152	-81.166767	1880	Ontario
HB0950	Ag	M	41.766065	-84.227971	2001	Michigan
HB0951	Ag	F	42.979577	-82.470627	1909	Michigan
HB0952	Nat	F	41.829751	-88.177826	1897	Illinois
HB0953		M	39.136053	-84.502294	1883	Ohio
HB0954	Nat		39.14757	-84.753428	1833	Ohio
HB0955	Ag	F	45.966667	-81.933333	1932	Ontario
HB0956	Nat	F	42.05088	-83.056715	1986	Ontario
HB0957	Nat	M	39.578464	-89.730027	1946	Illinois
HB0958	Dist	?	45.559302	-75.064719	1989	Ontario
HB0959	Nat	F	41.826723	-87.82569	1882	Illinois
HB0960	Nat	F	37.364829	-88.482798	1919	Illinois
HB0961	Dist	M	40.061911	-88.105443	1949	Illinois
HB0962	Nat	F	42.917996	-81.441417	1993	Ontario
